Top100 cosine;Duarte;Eduardo;F�bio;;mean;desv pad;>2.5
MT0000379144.mp3;5;5;5;;5;0;1
MT0009010830.mp3;1;3;1;;1,666666667;0,816496581;0
MT0003778826.mp3;1;3;1;;1,666666667;0,816496581;0
MT0015005100.mp3;3;4;2;;3;0,707106781;1
MT0028627699.mp3;2;3;3;;2,666666667;0,40824829;1
MT0012124855.mp3;1;2;2;;1,666666667;0,40824829;0
MT0027035970.mp3;4;4;5;;4,333333333;0,40824829;1
MT0000044741.mp3;4;3;4;;3,666666667;0,40824829;1
MT0003794106.mp3;2;1;1;;1,333333333;0,40824829;0
MT0005478759.mp3;1;1;2;;1,333333333;0,40824829;0
MT0002262181.mp3;3;2;1;;2;0,707106781;0
MT0031996897.mp3;1;2;3;;2;0,707106781;0
MT0000992846.mp3;1;2;2;;1,666666667;0,40824829;0
MT0001376988.mp3;1;1;1;;1;0;0
MT0009208842.mp3;1;2;1;;1,333333333;0,40824829;0
MT0010465830.mp3;3;3;4;;3,333333333;0,40824829;1
MT0005737276.mp3;1;2;3;;2;0,707106781;0
MT0018031959.mp3;1;1;1;;1;0;0
MT0033958450.mp3;1;1;4;;2;1,224744871;0
MT0008222676.mp3;1;2;1;;1,333333333;0,40824829;0
MT0012041920.mp3;1;1;3;;1,666666667;0,816496581;0
;;;;;;;6
mean;1,857142857;2,285714286;2,380952381;;2,174603175;;prec
desv pad;1,216765993;1,09307145;1,330624955;;1,047455057;;28,57142857
